iter	Passed	Remaining
0	139	139006
1	140	70237
2	141	47142
3	142	35523
4	143	28595
5	144	23995
6	145	20662
7	146	18192
8	147	16246
9	148	14696
10	149	13432
11	150	12383
12	151	11474
13	151	10705
14	152	10045
15	153	9459
16	154	8939
17	155	8486
18	156	8076
19	157	7704
20	157	7364
21	158	7059
22	159	6779
23	160	6519
24	161	6285
25	161	6066
26	162	5863
27	163	5673
28	164	5496
29	164	5332
30	165	5178
31	166	5039
32	167	4902
33	168	4782
34	169	4660
35	169	4548
36	170	4440
37	171	4337
38	172	4242
39	173	4155
40	174	4079
41	175	3995
42	176	3917
43	176	3840
44	177	3766
45	178	3695
46	178	3629
47	179	3565
48	180	3505
49	181	3448
50	182	3391
51	182	3336
52	183	3282
53	184	3232
54	185	3182
55	186	3136
56	186	3088
57	187	3046
58	188	3002
59	188	2959
60	189	2918
61	190	2880
62	191	2844
63	192	2808
64	192	2773
65	193	2740
66	194	2705
67	194	2668
68	195	2636
69	196	2607
70	197	2578
71	197	2551
72	198	2524
73	199	2497
74	200	2470
75	201	2446
76	202	2422
77	202	2398
78	203	2377
79	204	2355
80	205	2331
81	206	2315
82	207	2293
83	208	2272
84	209	2251
85	210	2233
86	210	2211
87	211	2192
88	212	2172
89	213	2153
90	213	2134
91	214	2116
92	215	2099
93	216	2084
94	217	2068
95	217	2052
96	218	2035
97	219	2018
98	220	2002
99	220	1988
100	222	1976
101	222	1958
102	223	1944
103	224	1931
104	224	1917
105	225	1903
106	226	1889
107	227	1876
108	228	1864
109	229	1853
110	229	1840
111	230	1828
112	231	1816
113	232	1804
114	232	1792
115	233	1780
116	234	1770
117	235	1760
118	236	1748
119	236	1736
120	237	1725
121	238	1715
122	238	1702
123	239	1692
124	240	1683
125	241	1674
126	242	1665
127	242	1654
128	243	1644
129	244	1635
130	245	1625
131	245	1616
132	246	1607
133	247	1599
134	248	1590
135	249	1582
136	250	1575
137	250	1566
138	251	1558
139	252	1552
140	253	1545
141	254	1537
142	255	1530
143	256	1522
144	256	1514
145	257	1506
146	258	1499
147	259	1492
148	260	1485
149	260	1478
150	261	1470
151	262	1462
152	263	1457
153	264	1450
154	265	1444
155	265	1438
156	266	1433
157	267	1427
158	268	1421
159	269	1414
160	270	1407
161	270	1401
162	271	1396
163	272	1390
164	273	1384
165	274	1377
166	274	1371
167	275	1365
168	276	1359
169	277	1354
170	278	1349
171	279	1343
172	280	1339
173	280	1332
174	281	1326
175	282	1321
176	283	1316
177	283	1310
178	284	1305
179	285	1300
180	285	1293
181	286	1287
182	287	1282
183	288	1277
184	288	1272
185	289	1267
186	290	1262
187	291	1258
188	292	1253
189	292	1248
190	293	1244
191	294	1238
192	295	1234
193	296	1229
194	296	1225
195	297	1221
196	298	1216
197	299	1212
198	299	1207
199	300	1202
200	301	1198
201	302	1194
202	303	1191
203	304	1186
204	304	1182
205	305	1178
206	306	1174
207	307	1169
208	308	1165
209	308	1162
210	309	1158
211	310	1154
212	311	1150
213	312	1146
214	312	1142
215	313	1138
216	314	1134
217	315	1131
218	316	1127
219	316	1123
220	317	1119
221	318	1115
222	319	1111
223	319	1107
224	320	1104
225	321	1100
226	322	1097
227	323	1094
228	323	1090
229	324	1086
230	325	1082
231	326	1079
232	326	1076
233	327	1072
234	328	1069
235	329	1066
236	330	1062
237	330	1059
238	331	1055
239	332	1052
240	333	1048
241	334	1046
242	335	1043
243	335	1040
244	336	1037
245	337	1033
246	338	1030
247	338	1027
248	339	1024
249	341	1023
250	341	1019
251	342	1017
252	343	1013
253	344	1010
254	344	1007
255	345	1005
256	346	1002
257	347	999
258	348	997
259	349	995
260	350	993
261	351	990
262	352	988
263	353	985
264	354	983
265	355	980
266	356	977
267	357	975
268	358	973
269	358	970
270	359	967
271	360	965
272	361	963
273	362	960
274	363	957
275	364	955
276	365	953
277	366	950
278	367	948
279	368	946
280	369	944
281	369	941
282	370	939
283	371	937
284	372	935
285	373	932
286	374	930
287	375	928
288	376	925
289	377	923
290	378	921
291	379	919
292	379	916
293	380	913
294	381	911
295	382	908
296	383	906
297	383	904
298	384	902
299	385	899
300	386	897
301	387	894
302	387	891
303	388	889
304	389	887
305	390	885
306	391	883
307	392	881
308	392	878
309	393	876
310	394	874
311	395	872
312	396	870
313	397	868
314	398	866
315	399	864
316	400	862
317	401	860
318	402	859
319	403	857
320	404	855
321	405	853
322	406	851
323	406	849
324	408	847
325	409	845
326	410	843
327	411	842
328	411	840
329	412	838
330	413	836
331	415	835
332	416	834
333	417	832
334	418	830
335	419	829
336	420	826
337	421	825
338	421	822
339	422	820
340	423	818
